#WeekIdx,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
0,2016-12-25,0.94,5414937.46,1579234.89,2192460.84,99997.75,1543243.98,1405419.8,99069.58,38754.6,conventional,2016,California
0,2016-12-25,0.84,2641775.31,794840.17,669585.49,65359.34,1111990.31,1032762.48,49937.35,29290.48,conventional,2016,LosAngeles
0,2016-12-25,1.07,428247.63,119611.9,263467.16,811.18,44357.39,39136.56,2868.61,2352.22,conventional,2016,Sacramento
0,2016-12-25,0.89,473730.19,118030.19,191754.65,14438.25,149507.1,125660.66,22080.88,1765.56,conventional,2016,SanDiego
0,2016-12-25,1.18,690027.33,164595.96,462872.97,2525.58,60032.82,52277.99,7459.83,295.0,conventional,2016,SanFrancisco
0,2017-12-31,0.93,7132711.23,2280934.17,3201737.11,111845.09,1538194.86,1461095.1,20553.6,56546.16,conventional,2017,California
0,2017-12-31,0.88,3212261.75,1368619.91,755743.47,75509.63,1012388.74,959746.82,14343.09,38298.83,conventional,2017,LosAngeles
0,2017-12-31,1.03,578374.5,130774.36,396250.81,922.03,50427.3,46215.9,521.92,3689.48,conventional,2017,Sacramento
0,2017-12-31,0.98,619699.65,199514.36,268431.96,15509.5,136243.83,129566.1,4704.4,1973.33,conventional,2017,SanDiego
0,2017-12-31,0.92,1174818.67,174144.97,860294.61,1733.53,138645.56,136909.07,32.99,1703.5,conventional,2017,SanFrancisco
0,2018-03-25,1.04,6687009.44,1932162.02,2715163.6,92955.04,1946728.78,1827362.5,37434.21,81932.07,conventional,2018,California
0,2018-03-25,1.02,2843541.07,1007972.48,439940.61,63511.29,1332116.69,1248694.27,26861.69,56560.73,conventional,2018,LosAngeles
0,2018-03-25,1.13,570446.95,135652.39,361227.57,812.1,72754.89,67652.14,624.2,4478.55,conventional,2018,Sacramento
0,2018-03-25,1.1,488321.93,140383.72,156203.0,13940.11,177795.1,168263.27,7442.94,2088.89,conventional,2018,SanDiego
0,2018-03-25,1.01,1203274.11,198289.36,895797.12,2202.74,106984.89,103033.73,186.2,3764.96,conventional,2018,SanFrancisco
0,2016-12-25,1.53,132890.31,22779.87,56237.83,10.76,53861.85,43478.17,10383.68,0.0,organic,2016,California
0,2016-12-25,1.17,81458.1,11324.9,25698.37,0.0,44434.83,37064.95,7369.88,0.0,organic,2016,LosAngeles
0,2016-12-25,2.41,4567.83,1449.65,2867.8,2.68,247.7,247.7,0.0,0.0,organic,2016,Sacramento
0,2016-12-25,1.43,12022.95,715.07,7537.57,0.0,3770.31,540.0,3230.31,0.0,organic,2016,SanDiego
0,2016-12-25,2.56,16169.17,5599.25,8335.16,0.0,2234.76,2234.76,0.0,0.0,organic,2016,SanFrancisco
0,2017-12-31,1.71,160039.02,46373.36,55040.01,0.0,58625.65,58526.97,98.68,0.0,organic,2017,California
0,2017-12-31,1.74,78872.75,15369.81,20722.83,0.0,42780.11,42693.41,86.7,0.0,organic,2017,LosAngeles
0,2017-12-31,1.61,9655.29,3891.4,3759.45,0.0,2004.44,2004.44,0.0,0.0,organic,2017,Sacramento
0,2017-12-31,2.0,14150.95,2721.78,7973.65,0.0,3455.52,3455.52,0.0,0.0,organic,2017,SanDiego
0,2017-12-31,1.52,24699.21,14037.89,8786.88,0.0,1874.44,1871.11,3.33,0.0,organic,2017,SanFrancisco
0,2018-03-25,1.7,190257.38,29644.09,70982.1,0.0,89631.19,89424.11,207.08,0.0,organic,2018,California
0,2018-03-25,1.74,91739.92,11197.66,29959.26,0.0,50583.0,50420.81,162.19,0.0,organic,2018,LosAngeles
0,2018-03-25,1.63,9608.95,1902.19,3572.34,0.0,4134.42,4124.42,10.0,0.0,organic,2018,Sacramento
0,2018-03-25,1.75,19086.94,865.91,10936.47,0.0,7284.56,7284.56,0.0,0.0,organic,2018,SanDiego
0,2018-03-25,1.64,34687.2,10102.62,10778.96,0.0,13805.62,13802.29,3.33,0.0,organic,2018,SanFrancisco
